,Keyword,Score,Ratio cor.,Ratio wrong.,SE,Acc.
6,leaves,4.483293424709348,0.20772946859903382,0.5254237288135594,0.07086180406207108,0
9,green,3.9735844515071257,0.1497584541062802,0.423728813559322,0.06894791410539385,0
12,bamboo,3.4589087241009513,0.08695652173913043,0.3050847457627119,0.06306272915029809,0
1,bird,2.859169067001387,0.9082125603864735,0.9830508474576272,0.02617483797474135,0
11,forest,2.3814446717126123,0.0966183574879227,0.23728813559322035,0.05906909355325697,0
17,man,2.0340723416304733,0.01932367149758454,0.1016949152542373,0.0404957297097042,0
13,standing,1.7644317876216187,0.07729468599033816,0.1694915254237288,0.05225299163175256,0
18,tall,1.4009813432714866,0.00966183574879227,0.05084745762711865,0.029397694748848124,0
15,perched,0.5451947932916985,0.033816425120772944,0.05084745762711865,0.031238435722245605,0
10,person,0.4932362871991812,0.1111111111111111,0.13559322033898305,0.04963566116940105,0
16,landscape,0.18688633422392448,0.028985507246376812,0.03389830508474576,0.026287624821633604,0
8,black,0.18286561841247384,0.15942028985507245,0.1694915254237288,0.05507451677405841,0
3,flying,-0.5940771521402235,0.41545893719806765,0.3728813559322034,0.07167012081254795,0
7,duck,-1.1128883487492085,0.17391304347826086,0.11864406779661017,0.04966264202852721,0
14,large,-1.150537458976299,0.06763285024154589,0.03389830508474576,0.029320683906124825,0
4,gray,-1.3393084484165574,0.30434782608695654,0.22033898305084745,0.06272553804572156,0
0,nature,-1.4009813432714844,0.9903381642512077,0.9491525423728814,0.02939769474884812,0
5,white,-1.667631757787674,0.26570048309178745,0.1694915254237288,0.057691967797310416,0
2,water,-7.357878788263163,0.48792270531400966,0.1016949152542373,0.052491730453056565,0
